title,author,description,target,isbn13
the book thief,Markus Zusak,girl copes life nazis stealing books,the book thief girl copes life nazis stealing books,9780375842207
the absolutely true diary of a part-time indian,Sherman Alexie,boy leaves reservation attend allwhite school,the absolutely true diary of a part-time indian boy leaves reservation attend allwhite school,9780316013697
red queen,Victoria Aveyard,girl special power lives kingdom divided underclass red blood elite silver,red queen girl special power lives kingdom divided underclass red blood elite silver,9780062310644
red queen,Victoria Aveyard,girl special power lives kingdom divided underclass red blood elite silver,red queen girl special power lives kingdom divided underclass red blood elite silver,9780062310644
red queen,Victoria Aveyard,girl special power lives kingdom divided underclass red blood elite silver,red queen girl special power lives kingdom divided underclass red blood elite silver,9780062310644
we all looked up,Tommy Wallach,asteroid disrupts lives group high school seniors,we all looked up asteroid disrupts lives group high school seniors,9781481418782
we all looked up,Tommy Wallach,asteroid disrupts lives group high school seniors,we all looked up asteroid disrupts lives group high school seniors,9781481418782
looking for alaska,John Green,boy finds excitement meets girl named alaska,looking for alaska boy finds excitement meets girl named alaska,9780142402511
looking for alaska,John Green,boy finds excitement meets girl named alaska,looking for alaska boy finds excitement meets girl named alaska,9780142402511
home,Harlan Coben,myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel,home myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel,9780525955108
the woman in cabin 10,Ruth Ware,travel writer cruise certain heard body thrown overboard one believes,the woman in cabin 10 travel writer cruise certain heard body thrown overboard one believes,9781501132933
razor girl,Carl Hiaasen,excop andrew yancy​ ​“bad monkey” gets involved kidnapping gone wrong,razor girl excop andrew yancy​ ​“bad monkey” gets involved kidnapping gone wrong,9780385349741
thrice the brinded cat hath mew'd,Alan Bradley,12yearold detective flavia de luce returning home,thrice the brinded cat hath mew'd 12yearold detective flavia de luce returning home,9780345539960
the kept woman,Karin Slaughter,trent georgia bureau investigation lover medical examiner sara linton pursue case involving dirty atlanta cop,the kept woman trent georgia bureau investigation lover medical examiner sara linton pursue case involving dirty atlanta cop,9780062430212
pirate,Clive Cussler and Robin Burcell,sam remi fargo pursue ancient treasure,pirate sam remi fargo pursue ancient treasure,9780399183973
nutshell,Ian McEwan,fetus utero overhears mother plotting uncle kill father,nutshell fetus utero overhears mother plotting uncle kill father,9780385542074
apprentice in death,J D Robb,lt eve dallas nypd case three skaters shot sniper nora roberts writing pseudonymously,apprentice in death lt eve dallas nypd case three skaters shot sniper nora roberts writing pseudonymously,9781101987971
a great reckoning,Louise Penny,armand gamache retired homicide chief sûreté du québec investigates murder police academy,a great reckoning armand gamache retired homicide chief sûreté du québec investigates murder police academy,9781250022134
rushing waters,Danielle Steel,six people cope hurricane new york city,rushing waters six people cope hurricane new york city,9780345531094
the nightingale,Kristin Hannah,two sisters world war ii france one struggling survive countryside joining resistance paris,the nightingale two sisters world war ii france one struggling survive countryside joining resistance paris,9780312577223
all the light we cannot see,Anthony Doerr,lives blind french girl gadgetobsessed german boy world war ii,all the light we cannot see lives blind french girl gadgetobsessed german boy world war ii,9781476746586
here i am,Jonathan Safran Foer,private public crises converge four generations jewish family,here i am private public crises converge four generations jewish family,9780374280024
an obvious fact,Craig Johnson,sheriff walt longmire friend henry standing bear investigate motorcycle accident basis netflix series,an obvious fact sheriff walt longmire friend henry standing bear investigate motorcycle accident basis netflix series,9780525426943
magic binds,Ilona Andrews,mercenary kate daniels man loves decide marry steep obstacles standing way altar,magic binds mercenary kate daniels man loves decide marry steep obstacles standing way altar,9780425270691
magic binds,Ilona Andrews,mercenary kate daniels man loves decide marry steep obstacles standing way altar,magic binds mercenary kate daniels man loves decide marry steep obstacles standing way altar,9780425270691
the nix,Nathan Hill,aspiring writer spends much time playing video games investigates past mother abandoned,the nix aspiring writer spends much time playing video games investigates past mother abandoned,9781101946619
love warrior,Glennon Doyle Melton,husband confesses multiple infidelities woman overcome bulimia alcoholism struggles grow —,love warrior husband confesses multiple infidelities woman overcome bulimia alcoholism struggles grow —,9781250128546
the girl with the lower back tattoo,Amy Schumer,humorous personal essays comedian actor writer,the girl with the lower back tattoo humorous personal essays comedian actor writer,9781501139888
hero of the empire,Candice Millard,young winston churchill’s adventures africa boer war including escape captivity 1899,hero of the empire young winston churchill’s adventures africa boer war including escape captivity 1899,9780385535731
scorched earth,Michael Savage,radio host discusses happen administration “president maobama”,scorched earth radio host discusses happen administration “president maobama”,9781455568246
the upside of inequality,Edward Conard,former managing director bain capital argues concern inequality misguided slow growth,the upside of inequality former managing director bain capital argues concern inequality misguided slow growth,9781595231239
in such good company,Carol Burnett,burnett looks back “the carol burnett show” 196778 describing sketches favorite guests,in such good company burnett looks back “the carol burnett show” 196778 describing sketches favorite guests,9781101904657
between breaths,Elizabeth Vargas,coanchor “world news tonight” “2020” describes long struggle acute anxiety,between breaths coanchor “world news tonight” “2020” describes long struggle acute anxiety,9781455559633
armageddon,Dick Morris and Eileen McGann,political strategist offers game plan defeat hillary clinton,armageddon political strategist offers game plan defeat hillary clinton,9781630060589
the hidden life of trees,Peter Wohlleben,forester presents scientific research way trees interact one another best seller germany,the hidden life of trees forester presents scientific research way trees interact one another best seller germany,9781771642484
based on a true story,Norm Macdonald,memoir “saturday night live” alumnus onetime weekend update anchor,based on a true story memoir “saturday night live” alumnus onetime weekend update anchor,9780812993622
based on a true story,Norm Macdonald,memoir “saturday night live” alumnus onetime weekend update anchor,based on a true story memoir “saturday night live” alumnus onetime weekend update anchor,9780812993622
unholy alliance,Jay Sekulow,threat united states shariah law dangers islamist radicalism,unholy alliance threat united states shariah law dangers islamist radicalism,9781501141027
grit,Angela Duckworth,macarthur fellow argues passion perseverance important innate talent creating success,grit macarthur fellow argues passion perseverance important innate talent creating success,9781501111105
forward,Ab Wambach,memoir soccer player highest scorer united states women’s national team,forward memoir soccer player highest scorer united states women’s national team,9780062466983
sully,Chesley B Sullenberger III with Jeffrey Zaslow,memoir pilot performed successful emergency landing plane 155 passengers hudson river 2009 basis movie,sully memoir pilot performed successful emergency landing plane 155 passengers hudson river 2009 basis movie,9780062564320
the witches,Stacy Schiff,account salem witch trials 1692 resulted hanging 19 people,the witches account salem witch trials 1692 resulted hanging 19 people,9780316200592
modern romance,Aziz Ansari with Eric Klinenberg,comedian enlists sociologist help understand today’s dating scene,modern romance comedian enlists sociologist help understand today’s dating scene,9780143109259
the road to character,David Brooks,times columnist extols personal virtues like kindness honesty materialistic age,the road to character times columnist extols personal virtues like kindness honesty materialistic age,9780812983418
spqr,Mary Beard,concise history ancient rome,spqr concise history ancient rome,9781631492228
killing lincoln,Bill O'Reilly and Martin Dugard,television host recounts events surrounding assassination abraham lincoln,killing lincoln television host recounts events surrounding assassination abraham lincoln,9781250105219
i'm judging you,Luvvie Ajayi,proprietor blog awesomely luvvie offers collection essays form dobetter manual,i'm judging you proprietor blog awesomely luvvie offers collection essays form dobetter manual,9781627796064
i'm judging you,Luvvie Ajayi,proprietor blog awesomely luvvie offers collection essays form dobetter manual,i'm judging you proprietor blog awesomely luvvie offers collection essays form dobetter manual,9781627796064
the fault in our stars,John Green,girl faces new realities learns cancer,the fault in our stars girl faces new realities learns cancer,9780142424179
robert b. parker's debt to pay,Reed Farrel Coleman,jesse stone pursues psychotic assassin revenge continuation series parker died 2010,robert b. parker's debt to pay jesse stone pursues psychotic assassin revenge continuation series parker died 2010,9780399171437
truly madly guilty,Liane Moriarty,three couples backyard barbecue gone wrong,truly madly guilty three couples backyard barbecue gone wrong,9781250069795
the couple next door,Shari Lapena,couple’s secrets emerge baby disappears,the couple next door couple’s secrets emerge baby disappears,9780735221086
the couple next door,Shari Lapena,couple’s secrets emerge baby disappears,the couple next door couple’s secrets emerge baby disappears,9780735221086
the couple next door,Shari Lapena,couple’s secrets emerge baby disappears,the couple next door couple’s secrets emerge baby disappears,9780735221086
a perfect score,Kathryn Hall and Craig Hall,couple’s experience building successful napa valley winery,a perfect score couple’s experience building successful napa valley winery,9781455535767
the red bandanna,Tom Rinaldi,life welles crowther young equities trader heroism world trade center 911,the red bandanna life welles crowther young equities trader heroism world trade center 911,9781594206771
good vibrations,Mike Love,rise fall beach boys one bands original members,good vibrations rise fall beach boys one bands original members,9780399176418
clean house,Tom Fitton,president judicial watch discusses benghazi hillary clinton’s emails words subtitle “secrets lies” obama administration,clean house president judicial watch discusses benghazi hillary clinton’s emails words subtitle “secrets lies” obama administration,9781501137044
the year of voting dangerously,Maureen Dowd,essays 2016 election new york times columnist,the year of voting dangerously essays 2016 election new york times columnist,9781455539260
the perfect horse,Elizabeth Letts,attempt closing days world war ii rescue purebred horses raised hitler,the perfect horse attempt closing days world war ii rescue purebred horses raised hitler,9780345544803
m train,Patti Smith,meditation art loss past singersongwriter author national book awardwinning “just kids”,m train meditation art loss past singersongwriter author national book awardwinning “just kids”,9781101910160
"carry on, warrior",Glennon Doyle Melton,reflections marriage motherhood faith addiction recovery author blog momasterycom,"carry on, warrior reflections marriage motherhood faith addiction recovery author blog momasterycom",9781451698220
the rainbow comes and goes,Anderson Cooper and Gloria Vanderbilt,mother son discuss relationship difficult family history,the rainbow comes and goes mother son discuss relationship difficult family history,9780062454942
the sleep revolution,Arianna Huffington,scientific research reveals dangers sleep deprivation tips achieving better sleep habits,the sleep revolution scientific research reveals dangers sleep deprivation tips achieving better sleep habits,9781101904008
shoe dog,Phil Knight,memoir founder nike,shoe dog memoir founder nike,9781501135910
the third wave,Steve Case,current era entrepreneurs use technology revolutionize various sectors economy,the third wave current era entrepreneurs use technology revolutionize various sectors economy,9781501132582
lab girl,Hope Jahren,geobiologist shares fascination plants describes found vocation,lab girl geobiologist shares fascination plants describes found vocation,9781101874936
seven brief lessons on physics,Carlo Rovelli,introduction modern physics,seven brief lessons on physics introduction modern physics,9780399184413
becoming grandma,Lesley Stahl,reporter investigates “grandmothering” transforms woman’s life,becoming grandma reporter investigates “grandmothering” transforms woman’s life,9780399168154
old age,Michael Kinsley,essays serious humorous aging death based part kinsley’s experience parkinson’s disease aimed fellow baby boomers,old age essays serious humorous aging death based part kinsley’s experience parkinson’s disease aimed fellow baby boomers,9781101903766
being mortal,Atul Gawande,surgeon new yorker writer considers doctors fail patients end life better,being mortal surgeon new yorker writer considers doctors fail patients end life better,9780805095159
first women,Kate Andersen Brower,10 first ladies since 1960 based interviews white house staff social secretaries friends author residence,first women 10 first ladies since 1960 based interviews white house staff social secretaries friends author residence,9780062439659
smarter faster better,Charles Duhigg,science productivity author power habit,smarter faster better science productivity author power habit,9780812993394
are we smart enough to know how smart animals are?,Frans de Waal,primatologist explores intelligence various animals,are we smart enough to know how smart animals are? primatologist explores intelligence various animals,9780393246186
girls and sex,Peggy Orenstein,interviews 70 teenagers shed light experience sexuality,girls and sex interviews 70 teenagers shed light experience sexuality,9780062209726
originals,Adam Grant,wharton school professor argues innovators made born offers suggestions become one,originals wharton school professor argues innovators made born offers suggestions become one,9780525429562
changing normal,Marilu Henner and Michael Brown,intimate account television actress sitcom taxi husband successfully battled battled cancer,changing normal intimate account television actress sitcom taxi husband successfully battled battled cancer,9781476793948
dark money,Jane Mayer,account koch brothers superwealthy donors deployed money change american politics,dark money account koch brothers superwealthy donors deployed money change american politics,9780385535595
the genius of birds,Jennifer Ackerman,research reveals many birds rival primates even humans complex forms intelligence,the genius of birds research reveals many birds rival primates even humans complex forms intelligence,9781594205217
dead wake,Erik Larson,tragic final voyage luxury ship lusitania sunk german submarine 1915 author devil white city,dead wake tragic final voyage luxury ship lusitania sunk german submarine 1915 author devil white city,9780307408877
i am malala,Malala Yousafzai with Christina Lamb,nobel peace prize winner teenage activist recounts path learning,i am malala nobel peace prize winner teenage activist recounts path learning,9780316322423
h is for hawk,Helen Macdonald,griefstricken british woman decides raise goshawk fierce bird notoriously difficult tame,h is for hawk griefstricken british woman decides raise goshawk fierce bird notoriously difficult tame,9780802124739
barbarian days,William Finnegan,pulitzerwinning surfing chronicle memoir new yorker writer celebrates lifelong obsession,barbarian days pulitzerwinning surfing chronicle memoir new yorker writer celebrates lifelong obsession,9780143109396
david and goliath,Malcolm Gladwell,disadvantages work favor author tipping point outliers,david and goliath disadvantages work favor author tipping point outliers,9780316204378
the 5th wave,Rick Yancey,aliens land earth apocalypse begins,the 5th wave aliens land earth apocalypse begins,9780142425831
the infinite sea,Rick Yancey,companions face harsh choice followup “the 5th wave”,the infinite sea companions face harsh choice followup “the 5th wave”,9781101996980
paper towns,John Green,night mischief girl quentin loves disappears,paper towns night mischief girl quentin loves disappears,9780142414934
me and earl and the dying girl,Jesse Andrews,high school senior befriends girl cancer,me and earl and the dying girl high school senior befriends girl cancer,9781419719608
to all the boys i've loved before,Jenny Han,girl’s love life goes imaginary control,to all the boys i've loved before girl’s love life goes imaginary control,9781442426719
an abundance of katherines,John Green,colin singleton wants break pattern dumped,an abundance of katherines colin singleton wants break pattern dumped,9780142410707
the last mile,David Baldacci,sequel “memory man” amos decker detective extraordinary memory helps fbi investigate case convicted killer wins lastminute reprieve,the last mile sequel “memory man” amos decker detective extraordinary memory helps fbi investigate case convicted killer wins lastminute reprieve,9781455586455
the obsession,Nora Roberts,woman haunted father’s crimes tries pursue love work photographer,the obsession woman haunted father’s crimes tries pursue love work photographer,9780399175169
the nest,Cynthia D'Aprix Sweeney,siblings dysfunctional new york family must grapple reduced inheritance,the nest siblings dysfunctional new york family must grapple reduced inheritance,9780062414212
the girl on the train,Paula Hawkins,psychological thriller set environs london,the girl on the train psychological thriller set environs london,9781594633669
eligible,Curtis Sittenfeld,author “prep” “american wife” retells “pride prejudice” set cincinnati suburbs present,eligible author “prep” “american wife” retells “pride prejudice” set cincinnati suburbs present,9781400068326
fool me once,Harlan Coben,retired army helicopter pilot faces combatrelated nightmares mysteries concerning deaths husband sister,fool me once retired army helicopter pilot faces combatrelated nightmares mysteries concerning deaths husband sister,9780525955092
miller's valley,Anna Quindlen,young woman comes age assault land people loves,miller's valley young woman comes age assault land people loves,9780812996081
as time goes by,Mary Higgins Clark,secrets emerge television journalist searching birth mother covers trial widow wealthy doctor,as time goes by secrets emerge television journalist searching birth mother covers trial widow wealthy doctor,9781501130441
most wanted,Lisa Scottoline,woman discovers sperm donor murderer,most wanted woman discovers sperm donor murderer,9781250010131
the 14th colony,Steve Berry,covert operative cotton malone must thwart agent loyal former soviet union,the 14th colony covert operative cotton malone must thwart agent loyal former soviet union,9781250056245
the summer before the war,Helen Simonson,life sussex england beginning world war,the summer before the war life sussex england beginning world war,9780812993103
maestra,L S Hilton,first book thriller trilogy featuring judith rashleigh ambitious amoral femme fatale con artist,maestra first book thriller trilogy featuring judith rashleigh ambitious amoral femme fatale con artist,9780399184260
lilac girls,Martha Hall Kelly,story three women’s lives world war ii,lilac girls story three women’s lives world war ii,9781101883075
my struggle: book 5,Karl Ove Knausgaard,penultimate book sixvolume autobiographical novel protagonist attends university marries begins achieve goal becoming writer,my struggle: book 5 penultimate book sixvolume autobiographical novel protagonist attends university marries begins achieve goal becoming writer,9780914671398
my struggle: book 5,Karl Ove Knausgaard,penultimate book sixvolume autobiographical novel protagonist attends university marries begins achieve goal becoming writer,my struggle: book 5 penultimate book sixvolume autobiographical novel protagonist attends university marries begins achieve goal becoming writer,9780914671398
after you,Jojo Moyes,sequel “me you” louisa clark tries put life back together death traynor,after you sequel “me you” louisa clark tries put life back together death traynor,9780525426592
journey to munich,Jacqueline Winspear,1938 psychologist maisie dobbs travels germany impersonate daughter prisoner,journey to munich 1938 psychologist maisie dobbs travels germany impersonate daughter prisoner,9780062220608
the last painting of sara de vos,Dominic Smith,painting links 17thcentury dutch painter modern art historian sometime forger,the last painting of sara de vos painting links 17thcentury dutch painter modern art historian sometime forger,9780374106683
love that boy,Ron Fournier,journalist learns good father son highfunctioning autism,love that boy journalist learns good father son highfunctioning autism,9780804140485
the immortal irishman,Timothy Egan,life thomas francis meagher irish revolutionary led new yorks civil war irish brigade,the immortal irishman life thomas francis meagher irish revolutionary led new yorks civil war irish brigade,9780544272880
the immortal irishman,Timothy Egan,life thomas francis meagher irish revolutionary led new yorks civil war irish brigade,the immortal irishman life thomas francis meagher irish revolutionary led new yorks civil war irish brigade,9780544272880
disrupted,Dan Lyons,longtime tech writer age 52 takes job startup called hubspot,disrupted longtime tech writer age 52 takes job startup called hubspot,9780316306089
disrupted,Dan Lyons,longtime tech writer age 52 takes job startup called hubspot,disrupted longtime tech writer age 52 takes job startup called hubspot,9780316306089
nofx,NOFX with Jeff Alulis,biography punk rock band told perspectives members,nofx biography punk rock band told perspectives members,9780306824777
miracles from heaven,Christy Beam,mother tells story oncesickly young daughter whose chronic disease disappeared neardeath experience,miracles from heaven mother tells story oncesickly young daughter whose chronic disease disappeared neardeath experience,9780316311373
the big short,Michael Lewis,people saw real estate crash coming made billions originally published 2010 2015 movie,the big short people saw real estate crash coming made billions originally published 2010 2015 movie,9780393353150
i'll give you the sun,Jandy Nelson,close twin brother sister fall,i'll give you the sun close twin brother sister fall,9780142425763
family jewels,Stuart Woods,37th stone barrington novel lawyer becomes entangled mystery involving wealthy divorcée’s exhusband,family jewels 37th stone barrington novel lawyer becomes entangled mystery involving wealthy divorcée’s exhusband,9780399174698
private paris,James Patterson and Mark Sullivan,jack morgan head private global investigative agency probes murders members french cultural elite,private paris jack morgan head private global investigative agency probes murders members french cultural elite,9780316407052
the little red chairs,Edna O'Brien,ruthless bosnian serb leader responsible thousands deaths goes undercover irish village,the little red chairs ruthless bosnian serb leader responsible thousands deaths goes undercover irish village,9780316378239
off the grid,C J Box,16th joe pickett novel features nate romanowski search domestic terror cell,off the grid 16th joe pickett novel features nate romanowski search domestic terror cell,9780399176609
the beast,J R Ward,book 14 black dagger brotherhood series,the beast book 14 black dagger brotherhood series,9780451475169
the 5th wave,Rick Yancey,aliens land earth apocalypse begins,the 5th wave aliens land earth apocalypse begins,9780147519085
the 5th wave,Rick Yancey,aliens land earth apocalypse begins,the 5th wave aliens land earth apocalypse begins,9780147519085
cross justice,James Patterson,detective alex cross returns starksville nc hometown first time 35 years help cousin accused murder,cross justice detective alex cross returns starksville nc hometown first time 35 years help cousin accused murder,9780316407045
tricky twenty-two,Janet Evanovich,new jersey bounty hunter stephanie plum pursues fraternity member arrested beating college dean investigates murder,tricky twenty-two new jersey bounty hunter stephanie plum pursues fraternity member arrested beating college dean investigates murder,9780345542960
rogue lawyer,John Grisham,attorney sebastian rudd “lone gunman” hates injustice system defends unpopular clients,rogue lawyer attorney sebastian rudd “lone gunman” hates injustice system defends unpopular clients,9780385539432
the guilty,David Baldacci,government hit man robie investigates murder charges estranged father mississippi hometown,the guilty government hit man robie investigates murder charges estranged father mississippi hometown,9781455586424
the bazaar of bad dreams,Stephen King,twenty stories never published,the bazaar of bad dreams twenty stories never published,9781501111679
see me,Nicholas Sparks,couple love threatened secrets past,see me couple love threatened secrets past,9781455520619
the magic strings of frankie presto,Mitch Albom,mystical tale guitar genius’s journey 20thcentury music,the magic strings of frankie presto mystical tale guitar genius’s journey 20thcentury music,9780062294418
the crossing,Michael Connelly,retired detective harry bosch reluctantly agrees help half brother defense attorney,the crossing retired detective harry bosch reluctantly agrees help half brother defense attorney,9780316225885
go set a watchman,Harper Lee,mid1950s grownup jean louise finch returns home find adored father perfect believed,go set a watchman mid1950s grownup jean louise finch returns home find adored father perfect believed,9780062409850
all dressed in white,Mary Higgins Clark and Alafair Burke,tv producer investigates bride’s disappearance show “under suspicion”,all dressed in white tv producer investigates bride’s disappearance show “under suspicion”,9781501108556
the pharaoh's secret,Clive Cussler and Graham Brown,kurt austin joe zavala must save numa crew mysterious toxin deployed villain wants build new egyptian empire,the pharaoh's secret kurt austin joe zavala must save numa crew mysterious toxin deployed villain wants build new egyptian empire,9780399174117
the mistletoe inn,Richard Paul Evans,aspiring romance writer broken heart meets complicated man christmas writers’ retreat,the mistletoe inn aspiring romance writer broken heart meets complicated man christmas writers’ retreat,9781501119798
rules for a knight,Ethan Hawke,letters actor’s imagined medieval ancestor instruct children ethical behavior,rules for a knight letters actor’s imagined medieval ancestor instruct children ethical behavior,9780307962331
a knight of the seven kingdoms,George R R Martin,collection three official prequels “a song ice fire”,a knight of the seven kingdoms collection three official prequels “a song ice fire”,9780345533487
the japanese lover,Isabel Allende,young refugee nazis son family’s japanese gardener must hide love although lasts lifetime,the japanese lover young refugee nazis son family’s japanese gardener must hide love although lasts lifetime,9781501116971
the girl in the spider's web,David Lagercrantz,lisbeth salander mikael blomkvist back continuation stieg larssons millennium series,the girl in the spider's web lisbeth salander mikael blomkvist back continuation stieg larssons millennium series,9780385354288
the survivor,Vince Flynn and Kyle Mills,counterterrorism operative mitch rapp must control damage leak cia documents mills finished book flynn died 2013,the survivor counterterrorism operative mitch rapp must control damage leak cia documents mills finished book flynn died 2013,9781476783451
humans of new york: stories,Brandon Stanton,photographs interviews creator blog book “humans new york”,humans of new york: stories photographs interviews creator blog book “humans new york”,9781250058904
killing reagan,Bill O'Reilly and Martin Dugard,host “the o’reilly factor” recounts events surrounding attempted assassination president reagan 1981,killing reagan host “the o’reilly factor” recounts events surrounding attempted assassination president reagan 1981,9781627792417
thomas jefferson and the tripoli pirates,Brian Kilmeade and Don Yaeger,war barbary pirates 1801,thomas jefferson and the tripoli pirates war barbary pirates 1801,9781591848066
destiny and power,Jon Meacham,biography george hw bush,destiny and power biography george hw bush,9781400067657
why not me?,Mindy Kaling,personal essays comedian actress,why not me? personal essays comedian actress,9780804138147
troublemaker,Leah Remini and Rebecca Paley,actress describes life scientology aftermath break church 2013,troublemaker actress describes life scientology aftermath break church 2013,9781101886960
binge,Tyler Oakley,personal essays lgbtq youtube personality,binge personal essays lgbtq youtube personality,9781501117695
boys in the trees,Carly Simon,memoir singer,boys in the trees memoir singer,9781250095893
the witches,Stacy Schiff,account salem witch trials 1692,the witches account salem witch trials 1692,9780316200608
the wright brothers,David McCullough,story bicycle mechanics ohio ushered age flight,the wright brothers story bicycle mechanics ohio ushered age flight,9781476728742
crippled america,Donald J Trump,real estate developer candidate republican presidential nomination shares ideas making america great,crippled america real estate developer candidate republican presidential nomination shares ideas making america great,9781501137969
what if?,Randall Munroe,scientific often humorous answers hypothetical questions based part author’s website xkcdcom,what if? scientific often humorous answers hypothetical questions based part author’s website xkcdcom,9780544272996
my life on the road,Gloria Steinem,memoir feminist writer activist also history movement,my life on the road memoir feminist writer activist also history movement,9780679456209
lights out,Ted Koppel,journalist warns unprepared cyberattack nation’s power grids could paralyze infrastructure,lights out journalist warns unprepared cyberattack nation’s power grids could paralyze infrastructure,9780553419962
spqr,Mary Beard,concise history ancient rome,spqr concise history ancient rome,9780871404237
wildflower,Drew Barrymore,actresss memoir takes form personal essays past including difficult upbringing experience working steven spielberg et role turned child star,wildflower actresss memoir takes form personal essays past including difficult upbringing experience working steven spielberg et role turned child star,9781101983799
m train,Patti Smith,meditation art loss past singersongwriter author national book awardwinning “just kids”,m train meditation art loss past singersongwriter author national book awardwinning “just kids”,9781101875100
gratitude,Oliver Sacks,four essays written 2013 2015 living good life facing mortality neurologist author died august 2015,gratitude four essays written 2013 2015 living good life facing mortality neurologist author died august 2015,9780451492937
notorious rbg,Irin Carmon and Shana Knizhnik,celebration life career supreme court justice ruth bader ginsburg,notorious rbg celebration life career supreme court justice ruth bader ginsburg,9780062415837
in the heart of the sea,Nathaniel Philbrick,sinking new england whaleship essex 1820 sperm whale basis movie,in the heart of the sea sinking new england whaleship essex 1820 sperm whale basis movie,9780143126812
yes please,Amy Poehler,humorous miscellany comedian veteran saturday night live parks recreation,yes please humorous miscellany comedian veteran saturday night live parks recreation,9780062268358
citizen,Claudia Rankine,prose poems examine experience race racism fractured society include references recent events,citizen prose poems examine experience race racism fractured society include references recent events,9781555976903
is everyone hanging out without me?,Mindy Kaling,comedian actress offers essays life originally published 2011,is everyone hanging out without me? comedian actress offers essays life originally published 2011,9780307886279
it is about islam,Glenn Beck,talkradio host looks muslim teachings roots islamic extremism,it is about islam talkradio host looks muslim teachings roots islamic extremism,9781501126123
unbroken,Laura Hillenbrand,olympic runner’s story survival prisoner japanese world war ii read edward herrmann 13 hours 56 minutes unabridged,unbroken olympic runner’s story survival prisoner japanese world war ii read edward herrmann 13 hours 56 minutes unabridged,9780812974492
not that kind of girl,Lena Dunham,collection revealing often humorous personal essays creator star “girls”,not that kind of girl collection revealing often humorous personal essays creator star “girls”,9780812985177
crimson shore,Douglas Preston and Lincoln Child,15th thriller featuring fbi agent aloysius pendergast crime quaint massachusetts town may connected rumors colony witches settled salem trials,crimson shore 15th thriller featuring fbi agent aloysius pendergast crime quaint massachusetts town may connected rumors colony witches settled salem trials,9781455525928
warheart,Terry Goodkind,conclusion recent tetraology richard rahl kahlan amnell’s adventures,warheart conclusion recent tetraology richard rahl kahlan amnell’s adventures,9780765383082
the immortal nicholas,Glenn Beck,santa claus linked story christ radio host founder theblaze,the immortal nicholas santa claus linked story christ radio host founder theblaze,9781476798844
the promise,Robert Crais,los angeles pi elvis cole joins forces k9 officer scott james lapd german shepherd maggie well partner joe pike foil criminal mastermind,the promise los angeles pi elvis cole joins forces k9 officer scott james lapd german shepherd maggie well partner joe pike foil criminal mastermind,9780399161490
government zero,Michael Savage,radio host warns americans islamists obama administration,government zero radio host warns americans islamists obama administration,9781455536115
extreme ownership,Jocko Willink and Leif Babin,applying principles navy seals leadership training organization,extreme ownership applying principles navy seals leadership training organization,9781250067050
but enough about me,Burt Reynolds and Jon Winokur,actor recalls people life,but enough about me actor recalls people life,9780399173547
but enough about me,Burt Reynolds and Jon Winokur,actor recalls people life,but enough about me actor recalls people life,9780399173547
the english spy,Daniel Silva,gabriel allon art restorer occasional spy israeli secret service helps british intelligence track killer beautiful former member royal family,the english spy gabriel allon art restorer occasional spy israeli secret service helps british intelligence track killer beautiful former member royal family,9780062320131
truth or die,James Patterson and Howard Roughan,attorney discovers shocking secret must kept wrong hands,truth or die attorney discovers shocking secret must kept wrong hands,9780316407014
finders keepers,Stephen King,deranged readers infatuation salingeresque novelist dangerous consequences sequel mr mercedes,finders keepers deranged readers infatuation salingeresque novelist dangerous consequences sequel mr mercedes,9781501100079
the rumor,Elin Hilderbrand,two friends nantucket must deal damaging gossip husbands,the rumor two friends nantucket must deal damaging gossip husbands,9780316334525
in the unlikely event,Judy Blume,secrets revealed love stories play backdrop series plane crashes 1950s new jersey,in the unlikely event secrets revealed love stories play backdrop series plane crashes 1950s new jersey,9781101875049
the melody lingers on,Mary Higgins Clark,designer drawn lives family hedge fund billionaire disappeared suspiciously,the melody lingers on designer drawn lives family hedge fund billionaire disappeared suspiciously,9781476749112
tom clancy under fire,Grant Blackwood,former collaborator continues clancy’s series covert intelligent expert jack ryan jr clancy died 2013,tom clancy under fire former collaborator continues clancy’s series covert intelligent expert jack ryan jr clancy died 2013,9780399175756
wicked charms,Janet Evanovich and Phoef Sutton,lizzy tucker partner diesel join hunt buried treasure,wicked charms lizzy tucker partner diesel join hunt buried treasure,9780553392715
the president's shadow,Brad Meltzer,third culper ring novel severed arm found white house rose garden,the president's shadow third culper ring novel severed arm found white house rose garden,9780446553933
country,Danielle Steel,husband’s sudden death woman falls love country music superstar,country husband’s sudden death woman falls love country music superstar,9780345531001
luckiest girl alive,Jessica Knoll,life successful new york magazine writer shaken secrets past revealed,luckiest girl alive life successful new york magazine writer shaken secrets past revealed,9781476789637
radiant angel,Nelson DeMille,surveillance expert monitors activities newly resurgent russia,radiant angel surveillance expert monitors activities newly resurgent russia,9780446580854
the little paris bookshop,Nina George,bookseller knack finding right book making others feel better embarks journey pursuit happiness,the little paris bookshop bookseller knack finding right book making others feel better embarks journey pursuit happiness,9780553418774
the cartel,Don Winslow,2004 dea agent battles mexican drug lord escaped prison attempts regain control empire,the cartel 2004 dea agent battles mexican drug lord escaped prison attempts regain control empire,9781101874998
