genre,title,author,description,isbn13,weeks,rating,target
Hardcover Fiction,the force awakens,Alan Dean Foster,new threat arises adaptation screenplay new “star wars” movie,9781101965498,4,,the force awakens Alan Dean Foster new threat arises adaptation screenplay new “star wars” movie
Hardcover Fiction,the swans of fifth avenue,Melanie Benjamin,novel based friendship truman capote babe paley coterie began 1950s ended 20 years later scandal,9780345528698,1,,the swans of fifth avenue Melanie Benjamin novel based friendship truman capote babe paley coterie began 1950s ended 20 years later scandal
Hardcover Fiction,rogue lawyer,John Grisham,attorney sebastian rudd “lone gunman” hates injustice system defends unpopular clients,9780385539432,15,,rogue lawyer John Grisham attorney sebastian rudd “lone gunman” hates injustice system defends unpopular clients
Hardcover Fiction,fates and furies,Lauren Groff,marriage viewed two perspectives,9781594634475,8,,fates and furies Lauren Groff marriage viewed two perspectives
Hardcover Fiction,see me,Nicholas Sparks,couple love threatened secrets past,9781455520619,16,,see me Nicholas Sparks couple love threatened secrets past
Hardcover Fiction,scandalous behavior,Stuart Woods,stone barringtons hopes restful stay english countryside meet complications,9780399174681,3,,scandalous behavior Stuart Woods stone barringtons hopes restful stay english countryside meet complications
Hardcover Fiction,go set a watchman,Harper Lee,mid1950s grownup jean louise finch returns home find adored father perfect believed,9780062409850,28,,go set a watchman Harper Lee mid1950s grownup jean louise finch returns home find adored father perfect believed
Hardcover Fiction,the bitter season,Tami Hoag,fifth novel featuring minneapolis detectives nikki liska sam kovac find working separate cases — 20yearold murder killing professor wife samurai sword — eventually intersect,9780525954552,3,,the bitter season Tami Hoag fifth novel featuring minneapolis detectives nikki liska sam kovac find working separate cases — 20yearold murder killing professor wife samurai sword — eventually intersect
Hardcover Fiction,warriors of the storm,Bernard Cornwell,forces gathering uhtred greatest warrior kingdoms wessex mercia east anglia,9780062250940,2,,warriors of the storm Bernard Cornwell forces gathering uhtred greatest warrior kingdoms wessex mercia east anglia
Hardcover Fiction,staked,Kevin Hearne,vampire nemesis heads rome druid follows,9780345548511,0,,staked Kevin Hearne vampire nemesis heads rome druid follows
Hardcover Fiction,the guilty,David Baldacci,government hit man robie investigates murder charges estranged father mississippi hometown,9781455586424,0,,the guilty David Baldacci government hit man robie investigates murder charges estranged father mississippi hometown
Hardcover Fiction,the bazaar of bad dreams,Stephen King,twenty short stories never published,9781501111679,0,,the bazaar of bad dreams Stephen King twenty short stories never published
Hardcover Fiction,the guest room,Chris Bohjalian,westchester man’s life upended hosts bachelor party brother strippers turn russian sex slaves kill pimps,9780385538893,0,,the guest room Chris Bohjalian westchester man’s life upended hosts bachelor party brother strippers turn russian sex slaves kill pimps
Hardcover Fiction,the whistler,John Grisham,whistleblower alerts florida investigator judicial corruption involving mob indian casinos,9780385541190,1,,the whistler John Grisham whistleblower alerts florida investigator judicial corruption involving mob indian casinos
Hardcover Fiction,two by two,Nicholas Sparks,man became single father marriage business collapsed learns take chance new love,9781455520695,4,,two by two Nicholas Sparks man became single father marriage business collapsed learns take chance new love
Hardcover Fiction,small great things,Jodi Picoult,medical crisis entangles black nurse white supremacist father white lawyer,9780345544957,3,,small great things Jodi Picoult medical crisis entangles black nurse white supremacist father white lawyer
Hardcover Fiction,escape clause,John Sandford,virgil flowers minnesota bureau criminal apprehension must deal theft tigers local zoo,9780399168918,2,,escape clause John Sandford virgil flowers minnesota bureau criminal apprehension must deal theft tigers local zoo
Hardcover Fiction,vince flynn: order to kill,Kyle Mills,flynn’s character cia operative mitch rapp uncovers dangerous russian plot flynn died 2013,9781476783482,3,,vince flynn: order to kill Kyle Mills flynn’s character cia operative mitch rapp uncovers dangerous russian plot flynn died 2013
Hardcover Fiction,a baxter family christmas,Karen Kingsbury,story love redemption featuring baxter family,9781451687569,1,,a baxter family christmas Karen Kingsbury story love redemption featuring baxter family
Hardcover Fiction,"sex, lies  and serious money",Stuart Woods,new york lawyer stone barrington’s client needs help spending fortune lottery well protection scheming bad guys,9780399573941,1,,"sex, lies  and serious money Stuart Woods new york lawyer stone barrington’s client needs help spending fortune lottery well protection scheming bad guys"
Hardcover Fiction,the blood mirror,Brent Weeks,fourth book fantasy lightbringer series,9780316251334,1,,the blood mirror Brent Weeks fourth book fantasy lightbringer series
Hardcover Fiction,the obsidian chamber,Douglas Preston and Lincoln Child,fbi agent aloysius pendergast believed dead ward kidnapped,9781455536917,2,,the obsidian chamber Douglas Preston and Lincoln Child fbi agent aloysius pendergast believed dead ward kidnapped
Hardcover Fiction,home,Harlan Coben,myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel,9780525955108,6,,home Harlan Coben myron bolitar friend win locate boy kidnapped 10 years earlier 11th myron bolitar novel
Hardcover Fiction,the trespasser,Tana French,sixth dublin murder squad novel detective antoinette conway confronts case complicated appears,9780670026333,4,,the trespasser Tana French sixth dublin murder squad novel detective antoinette conway confronts case complicated appears
Hardcover Fiction,the mothers,Brit Bennett,three young people come age black community southern california,9780399184512,1,,the mothers Brit Bennett three young people come age black community southern california
Hardcover Fiction,today will be different,Maria Semple,calamitous day life cynical seattle transplant author “where’d go bernadette”,9780316403436,4,,today will be different Maria Semple calamitous day life cynical seattle transplant author “where’d go bernadette”
Hardcover Fiction,woman of god,James Patterson and Maxine Paetro,story woman doctor life service suffering decides become catholic priest,9780316274029,0,,woman of god James Patterson and Maxine Paetro story woman doctor life service suffering decides become catholic priest
Hardcover Fiction,winter storms,Elin Hilderbrand,final book winter street trilogy huge snowstorm bearing nantucket threatens quinn family’s christmas year significant events,9780316261173,0,,winter storms Elin Hilderbrand final book winter street trilogy huge snowstorm bearing nantucket threatens quinn family’s christmas year significant events
Hardcover Fiction,paris for one and other stories,Jojo Moyes,stories women’s lives author “me you”,9780735221079,0,,paris for one and other stories Jojo Moyes stories women’s lives author “me you”
Hardcover Fiction,the cuckoo's calling,Robert Galbraith,struggling detective cormoran strike investigates supermodel’s suicide jk rowling writing pseudonymously,9780316206846,2,,the cuckoo's calling Robert Galbraith struggling detective cormoran strike investigates supermodel’s suicide jk rowling writing pseudonymously
Hardcover Fiction,inferno,Dan Brown,symbologist robert langdon run florence must decipher series codes created danteloving scientist,9780385537858,11,,inferno Dan Brown symbologist robert langdon run florence must decipher series codes created danteloving scientist
Hardcover Fiction,the english girl,Daniel Silva,gabriel allon art restorer occasional spy israeli secret service steps help british prime minister whose lover kidnapped,9780062073167,2,,the english girl Daniel Silva gabriel allon art restorer occasional spy israeli secret service steps help british prime minister whose lover kidnapped
Hardcover Fiction,and the mountains echoed,Khaled Hosseini,multigenerational family saga centers brother sister born afghanistan author “the kite runner”,9781594631764,10,,and the mountains echoed Khaled Hosseini multigenerational family saga centers brother sister born afghanistan author “the kite runner”
Hardcover Fiction,light of the world,James Lee Burke,savage killer follows detective dave robicheaux family montana ranch,9781476710761,1,,light of the world James Lee Burke savage killer follows detective dave robicheaux family montana ranch
Hardcover Fiction,gone girl,Gillian Flynn,woman disappears fifth anniversary husband killer,9780307588364,60,,gone girl Gillian Flynn woman disappears fifth anniversary husband killer
Hardcover Fiction,the ocean at the end of the lane,Neil Gaiman,middleaged man recalls lonely boyhood friendship remarkable girl,9780062255655,6,,the ocean at the end of the lane Neil Gaiman middleaged man recalls lonely boyhood friendship remarkable girl
Hardcover Fiction,first sight,Danielle Steel,talented american designer whose troubled past soured relationships falls love french doctor,9780385338301,2,,first sight Danielle Steel talented american designer whose troubled past soured relationships falls love french doctor
Hardcover Fiction,hidden order,Brad Thor,counterterrorism operative scot harvath uncovers plot roots 18th century,9781476717098,3,,hidden order Brad Thor counterterrorism operative scot harvath uncovers plot roots 18th century
Hardcover Fiction,the white princess,Philippa Gregory,elizabeth york’s marriage henry tudor unites warring houses divides princess’ loyalties author “the boleyn girl”,9781451626094,1,,the white princess Philippa Gregory elizabeth york’s marriage henry tudor unites warring houses divides princess’ loyalties author “the boleyn girl”
Hardcover Fiction,bad monkey,Carl Hiaasen,defrocked miami cop turned restaurant inspector investigates grisly murder,9780307272591,7,,bad monkey Carl Hiaasen defrocked miami cop turned restaurant inspector investigates grisly murder
Hardcover Fiction,second honeymoon,James Patterson and Howard Roughan,investigates murder pair newlyweds fbi agent john o’hara last seen “honeymoon” 2005 targeted serial killer,9780316211222,5,,second honeymoon James Patterson and Howard Roughan investigates murder pair newlyweds fbi agent john o’hara last seen “honeymoon” 2005 targeted serial killer
Hardcover Fiction,a dance with dragons,George R R Martin,colossal battle seven kingdoms face new threats book 5 “a song ice fire”,9780553801477,81,,a dance with dragons George R R Martin colossal battle seven kingdoms face new threats book 5 “a song ice fire”
Hardcover Fiction,bombshell,Catherine Coulter,fbi special agent griffin hammersmith accepts dillon savich’s invitation join lacey sherlock,9780399157332,3,,bombshell Catherine Coulter fbi special agent griffin hammersmith accepts dillon savich’s invitation join lacey sherlock
Hardcover Fiction,"love, dishonor, marry, die, cherish, perish",David Rakoff,novel verse interlocking characters writer humorist contributor “this american life” died august 2012,9780385535212,2,,"love, dishonor, marry, die, cherish, perish David Rakoff novel verse interlocking characters writer humorist contributor “this american life” died august 2012"
Hardcover Fiction,william shakespeare's star wars,Ian Doescher,story beautiful princess young hero wise knight evil lord told iambic pentameter,9781594746376,0,,william shakespeare's star wars Ian Doescher story beautiful princess young hero wise knight evil lord told iambic pentameter
Hardcover Fiction,the light in the ruins,Chris Bohjalian,memories world war ii evoked 1955 florentine police investigator hunts serial killer,9780385534819,0,,the light in the ruins Chris Bohjalian memories world war ii evoked 1955 florentine police investigator hunts serial killer
Hardcover Fiction,the silver star,Jeannette Walls,artistic irresponsible mother takes find 1970 12yearold california girl big sister join rest family virginia,9781451661507,0,,the silver star Jeannette Walls artistic irresponsible mother takes find 1970 12yearold california girl big sister join rest family virginia
Hardcover Fiction,beautiful day,Elin Hilderbrand,summer wedding nantucket beset scandal heartbreak loved ones coupletobe find lives crumbling,9780316099783,0,,beautiful day Elin Hilderbrand summer wedding nantucket beset scandal heartbreak loved ones coupletobe find lives crumbling
Hardcover Fiction,the son,Philipp Meyer,multigenerational saga power blood land oil follows rise one texas family comanche raids present,9780062120397,0,,the son Philipp Meyer multigenerational saga power blood land oil follows rise one texas family comanche raids present
Hardcover Fiction,the racketeer,John Grisham,imprisoned exlawyer schemes exchange information murdered federal judge freedom,9780385535144,10,,the racketeer John Grisham imprisoned exlawyer schemes exchange information murdered federal judge freedom
Hardcover Fiction,"merry christmas, alex cross",James Patterson,detective alex cross confronts hostage situation terrorist act christmas,9780316210683,7,,"merry christmas, alex cross James Patterson detective alex cross confronts hostage situation terrorist act christmas"
Hardcover Fiction,the casual vacancy,J K Rowling,sudden death parish councilman reveals bitter social divisions idyllic english town,9780316228534,14,,the casual vacancy J K Rowling sudden death parish councilman reveals bitter social divisions idyllic english town
Hardcover Fiction,threat vector,Tom Clancy with Mark Greaney,china threatens invade taiwan covert intelligence expert jack ryan jr aids father’s administration — agency longer secret,9780399160455,4,,threat vector Tom Clancy with Mark Greaney china threatens invade taiwan covert intelligence expert jack ryan jr aids father’s administration — agency longer secret
Hardcover Fiction,cross roads,Wm Paul Young,comatose businessman encounters jesus holy spirit god author “the shack”,9781455516049,7,,cross roads Wm Paul Young comatose businessman encounters jesus holy spirit god author “the shack”
Hardcover Fiction,the forgotten,David Baldacci,military investigator john puller protagonist “zero day” probes aunt’s mysterious death florida,9780446573054,6,,the forgotten David Baldacci military investigator john puller protagonist “zero day” probes aunt’s mysterious death florida
Hardcover Fiction,notorious nineteen,Janet Evanovich,new jersey bounty hunter stephanie plum tracks con man disappeared hospital,9780345527745,6,,notorious nineteen Janet Evanovich new jersey bounty hunter stephanie plum tracks con man disappeared hospital
Hardcover Fiction,the twelve tribes of hattie,Ayana Mathis,fiftysome years life africanamerican family starting hattie shepherd leaves georgia philadelphia 1923,9780385350280,3,,the twelve tribes of hattie Ayana Mathis fiftysome years life africanamerican family starting hattie shepherd leaves georgia philadelphia 1923
Hardcover Fiction,the black box,Michael Connelly,los angeles detective harry bosch links recent crime killing photographer amid 1992 race riots,9780316069434,5,,the black box Michael Connelly los angeles detective harry bosch links recent crime killing photographer amid 1992 race riots
Hardcover Fiction,the last man,Vince Flynn,counterterrorism operative mitch rapp searches missing cia asset amid treachery afghanistan,9781416595212,7,,the last man Vince Flynn counterterrorism operative mitch rapp searches missing cia asset amid treachery afghanistan
Hardcover Fiction,the time keeper,Mitch Albom,fable inventor world’s first clock,9781401322786,15,,the time keeper Mitch Albom fable inventor world’s first clock
Hardcover Fiction,flight behavior,Barbara Kingsolver,woman’s life expands visitation butterflies brings scientific truths rural tennessee,9780062124265,8,,flight behavior Barbara Kingsolver woman’s life expands visitation butterflies brings scientific truths rural tennessee
Hardcover Fiction,winter of the world,Ken Follett,members five interrelated families five countries grapple historical events years 193949,9780525952923,13,,winter of the world Ken Follett members five interrelated families five countries grapple historical events years 193949
Hardcover Fiction,the round house,Louise Erdrich,native american family faces ramifications vicious crime,9780062065247,9,,the round house Louise Erdrich native american family faces ramifications vicious crime
Hardcover Fiction,two graves,Douglas Preston and Lincoln Child,special agent aloysius pendergast pursues serial killer well abducted wife,9780446554992,2,,two graves Douglas Preston and Lincoln Child special agent aloysius pendergast pursues serial killer well abducted wife
Hardcover Fiction,agenda 21,Glenn Beck with Harriet Parke,girl begins question authorities run republic totalitarian successor united states created un,9781476716695,0,,agenda 21 Glenn Beck with Harriet Parke girl begins question authorities run republic totalitarian successor united states created un
Hardcover Fiction,cold days,Jim Butcher,harry dresden longer chicago’s professional wizard asked queen mab pull impossible kill immortal,9780451464408,0,,cold days Jim Butcher harry dresden longer chicago’s professional wizard asked queen mab pull impossible kill immortal
Hardcover Fiction,bring up the bodies,Hilary Mantel,sequel “wolf hall” thomas cromwell conspires anne boleyn failed give henry viii son winner 2012 man booker prize,9780805090031,0,,bring up the bodies Hilary Mantel sequel “wolf hall” thomas cromwell conspires anne boleyn failed give henry viii son winner 2012 man booker prize
Hardcover Fiction,sycamore row,John Grisham,sequel race inheritance “a time kill”,9780385537131,1,,sycamore row John Grisham sequel race inheritance “a time kill”
Hardcover Fiction,doctor sleep,Stephen King,grown dan boy psychointuitive powers “the shining” helps another threatened child gift,9781476727653,5,,doctor sleep Stephen King grown dan boy psychointuitive powers “the shining” helps another threatened child gift
Hardcover Fiction,we are water,Wally Lamb,marry woman gallery owner divorced artist mother must confront secrets past,9780061941023,1,,we are water Wally Lamb marry woman gallery owner divorced artist mother must confront secrets past
Hardcover Fiction,the longest ride,Nicholas Sparks,lives two couples converge unexpectedly,9781455520657,6,,the longest ride Nicholas Sparks lives two couples converge unexpectedly
Hardcover Fiction,identical,Scott Turow,paul giannis running mayor kindle county accused played role murder identical twin brothers girlfriend — brother cass already served time,9781455527205,2,,identical Scott Turow paul giannis running mayor kindle county accused played role murder identical twin brothers girlfriend — brother cass already served time
Hardcover Fiction,storm front,John Sandford,minnesota investigator virgil flowers becomes involved hunt ancient inscribed stone smuggled middle east,9780399159305,3,,storm front John Sandford minnesota investigator virgil flowers becomes involved hunt ancient inscribed stone smuggled middle east
Hardcover Fiction,gone,James Patterson and Michael Ledwidge,detective michael bennett living 10 adopted children california farm pursued head mexican drug cartel put jail,9780316210980,4,,gone James Patterson and Michael Ledwidge detective michael bennett living 10 adopted children california farm pursued head mexican drug cartel put jail
Hardcover Fiction,bridget jones: mad about the boy,Helen Fielding,bridget 51 mother widow looking love,9780385350860,2,,bridget jones: mad about the boy Helen Fielding bridget 51 mother widow looking love
Hardcover Fiction,just one evil act,Elizabeth George,18th inspector lynley novel lynley’s partner barbara havers searches friend’s kidnapped child italy,9780525952961,2,,just one evil act Elizabeth George 18th inspector lynley novel lynley’s partner barbara havers searches friend’s kidnapped child italy
Hardcover Fiction,the circle,Dave Eggers,dystopian novel life campus powerful internet company,9780385351393,3,,the circle Dave Eggers dystopian novel life campus powerful internet company
Hardcover Fiction,the lowland,Jhumpa Lahiri,radical brother killed indian scientist brings widow join america,9780307265746,5,,the lowland Jhumpa Lahiri radical brother killed indian scientist brings widow join america
Hardcover Fiction,the signature of all things,Elizabeth Gilbert,19thcentury botanist’s love knowledge takes tahiti author “eat pray love”,9780670024858,4,,the signature of all things Elizabeth Gilbert 19thcentury botanist’s love knowledge takes tahiti author “eat pray love”
Hardcover Fiction,silent night,Robert B Parker with Helen Brann,unfinished manuscript christmas story parker died 2010 completed longtime agent concerns home street kids enlists services spenser boston pi,9780399157882,1,,silent night Robert B Parker with Helen Brann unfinished manuscript christmas story parker died 2010 completed longtime agent concerns home street kids enlists services spenser boston pi
Hardcover Fiction,aimless love,Billy Collins,50 new poems well selections previous books twoterm poet laureate untied states,9780679644057,1,,aimless love Billy Collins 50 new poems well selections previous books twoterm poet laureate untied states
Hardcover Fiction,police,Jo Nesbo,serial killer targeting oslo police officers harry hole still alive,9780307960498,2,,police Jo Nesbo serial killer targeting oslo police officers harry hole still alive
Hardcover Fiction,never go back,Lee Child,facing trumpedup charges former military cop jack reacher must clear name staying one step ahead army fbi several thugs,9780385344340,0,,never go back Lee Child facing trumpedup charges former military cop jack reacher must clear name staying one step ahead army fbi several thugs
Hardcover Fiction,the quest,Nelson DeMille,two journalists join elderly priest recently escaped ethiopian jail search holy relic,9781455576425,0,,the quest Nelson DeMille two journalists join elderly priest recently escaped ethiopian jail search holy relic
Hardcover Fiction,starry night,Debbie Macomber,christmastime bigcity societypage columnist sets interview notoriously reclusive author alaska,9780345528896,0,,starry night Debbie Macomber christmastime bigcity societypage columnist sets interview notoriously reclusive author alaska
Hardcover Fiction,lover at last,J R Ward,book 11 black dagger brotherhood series,9780451239358,1,,lover at last J R Ward book 11 black dagger brotherhood series
Hardcover Fiction,six years,Harlan Coben,six years woman loved married another man jake fisher discovers neither life together seemed sets uncover truth,9780525953487,2,,six years Harlan Coben six years woman loved married another man jake fisher discovers neither life together seemed sets uncover truth
Hardcover Fiction,the burgess boys,Elizabeth Strout,two brothers lawyers come together small maine town defend goodfornothing nephew pulitzer prizewinning author “olive kitteridge”,9781400067688,1,,the burgess boys Elizabeth Strout two brothers lawyers come together small maine town defend goodfornothing nephew pulitzer prizewinning author “olive kitteridge”
Hardcover Fiction,leaving everything most loved,Jacqueline Winspear,1933 private investigator maisie dobbs helps indian man whose sister’s murder ignored scotland yard,9780062049605,1,,leaving everything most loved Jacqueline Winspear 1933 private investigator maisie dobbs helps indian man whose sister’s murder ignored scotland yard
Hardcover Fiction,the storyteller,Jodi Picoult,new hampshire baker finds midst two holocaust stories grandmother’s story survival confessions elderly german man ss officer,9781439102763,5,,the storyteller Jodi Picoult new hampshire baker finds midst two holocaust stories grandmother’s story survival confessions elderly german man ss officer
Hardcover Fiction,the golden egg,Donna Leon,venice’s commissario guido brunetti looks suspicious death deaf mentally disabled man,9780802121011,1,,the golden egg Donna Leon venice’s commissario guido brunetti looks suspicious death deaf mentally disabled man
Hardcover Fiction,"alex cross, run",James Patterson,alex cross pursues washington serial killer killers someone,9780316097512,6,,"alex cross, run James Patterson alex cross pursues washington serial killer killers someone"
Hardcover Fiction,a week in winter,Maeve Binchy,guests inn sea ireland’s west coast final book binchy died 2012,9780307273574,7,,a week in winter Maeve Binchy guests inn sea ireland’s west coast final book binchy died 2012
Hardcover Fiction,z,Therese Anne Fowler,novel based lives zelda f scott fitzgerald,9781250028655,1,,z Therese Anne Fowler novel based lives zelda f scott fitzgerald
Hardcover Fiction,the striker,Clive Cussler and Justin Scott,1902 young detective isaac bell discovers provocateurs union members hired investigate causing trouble coal mines,9780399161773,4,,the striker Clive Cussler and Justin Scott 1902 young detective isaac bell discovers provocateurs union members hired investigate causing trouble coal mines
Hardcover Fiction,the dinner,Herman Koch,two couples meet amsterdam restaurant discuss sons’ criminal activities,9780770437855,7,,the dinner Herman Koch two couples meet amsterdam restaurant discuss sons’ criminal activities
Hardcover Fiction,breaking point,C J Box,13th novel featuring joe pickett wyoming game warden,9780399160752,3,,breaking point C J Box 13th novel featuring joe pickett wyoming game warden
Hardcover Fiction,a memory of light,Robert Jordan and Brandon Sanderson,14th final novel wheel time fantasy series,9780765325952,12,,a memory of light Robert Jordan and Brandon Sanderson 14th final novel wheel time fantasy series
Hardcover Fiction,damascus countdown,Joel C Rosenberg,cia operative searches two nuclear warheads survived israeli attack iran,9781414319704,4,,damascus countdown Joel C Rosenberg cia operative searches two nuclear warheads survived israeli attack iran
Hardcover Fiction,frost burned,Patricia Briggs,shapeshifter mercy thompson seeks assistance unlikely ally alpha werewolf adam hauptman rest pack abducted,9780441020010,0,,frost burned Patricia Briggs shapeshifter mercy thompson seeks assistance unlikely ally alpha werewolf adam hauptman rest pack abducted
Hardcover Fiction,death of yesterday,M C Beaton,,9781455504763,0,,
Hardcover Fiction,ordinary grace,William Kent Krueger,,9781451645828,0,,
Hardcover Fiction,the chance,Karen Kingsbury,teenage friends separated move come together adults see whether find love,9781451647037,0,,the chance Karen Kingsbury teenage friends separated move come together adults see whether find love
Hardcover Fiction,the heist,Janet Evanovich and Lee Goldberg,first book new series kate o’hare fbi special agent teams nicolas fox handsome con man catch corrupt investment banker hiding,9780345543042,1,,the heist Janet Evanovich and Lee Goldberg first book new series kate o’hare fbi special agent teams nicolas fox handsome con man catch corrupt investment banker hiding
Hardcover Fiction,the 9th girl,Tami Hoag,two minneapolis detectives try discover identity city’s ninth unidentified female murder victim year,9780525952978,1,,the 9th girl Tami Hoag two minneapolis detectives try discover identity city’s ninth unidentified female murder victim year
Hardcover Fiction,the last original wife,Dorothea Benton Frank,atlanta woman returns hometown charleston reassess life,9780062132468,2,,the last original wife Dorothea Benton Frank atlanta woman returns hometown charleston reassess life
Hardcover Fiction,revenge wears prada,Lauren Weisberger,andrea sachs running bridal magazine,9781439136638,3,,revenge wears prada Lauren Weisberger andrea sachs running bridal magazine
Hardcover Fiction,the eye of moloch,Glenn Beck,continuing fight save america begun “the overton window”,9781451635836,2,,the eye of moloch Glenn Beck continuing fight save america begun “the overton window”
Hardcover Fiction,the king's deception,Steve Berry,exgovernment operative cotton malone stumbles upon cia operation attempting call question legitimacy elizabeth i’s reign conquest ireland,9780345526540,2,,the king's deception Steve Berry exgovernment operative cotton malone stumbles upon cia operation attempting call question legitimacy elizabeth i’s reign conquest ireland
Hardcover Fiction,the hit,David Baldacci,government hitman robie uncovers serious threat attempts take fellow assassin gone rogue,9781455521210,9,,the hit David Baldacci government hitman robie uncovers serious threat attempts take fellow assassin gone rogue
Hardcover Fiction,sweet salt air,Barbara Delinsky,two women good friends estranged come together summer island coast maine,9781250007032,1,,sweet salt air Barbara Delinsky two women good friends estranged come together summer island coast maine
Hardcover Fiction,the kill room,Jeffery Deaver,quadriplegic forensics expert lincoln rhyme investigates political assassination united states citizen,9781455517060,0,,the kill room Jeffery Deaver quadriplegic forensics expert lincoln rhyme investigates political assassination united states citizen
Hardcover Fiction,transatlantic,Colum McCann,lives real fictional characters frederick douglass george mitchell irish maid woven historical events dublin newfoundland new york,9781400069590,0,,transatlantic Colum McCann lives real fictional characters frederick douglass george mitchell irish maid woven historical events dublin newfoundland new york
Hardcover Fiction,ladies' night,Mary Kay Andrews,separating husband lifestyle blogger moves mother attends divorce counseling sessions,9781250019677,0,,ladies' night Mary Kay Andrews separating husband lifestyle blogger moves mother attends divorce counseling sessions
Hardcover Fiction,zero hour,Clive Cussler and Graham Brown,11th numa files novel kurt austin rest numa team race find machines cause deadly earthquakes,9780399162503,0,,zero hour Clive Cussler and Graham Brown 11th numa files novel kurt austin rest numa team race find machines cause deadly earthquakes
Hardcover Fiction,worth dying for,Lee Child,jack reacher can’t let go decadesold case missing child,9780385344319,1,,worth dying for Lee Child jack reacher can’t let go decadesold case missing child
Hardcover Fiction,in the company of others,Jan Karon,ireland episcopal priest tim kavanagh finds old journal could solve crime,9780670022120,1,,in the company of others Jan Karon ireland episcopal priest tim kavanagh finds old journal could solve crime
Hardcover Fiction,american assassin,Vince Flynn,wake lockerbie bombing mitch rapp takes first antiterrorist assignment,9781416595182,2,,american assassin Vince Flynn wake lockerbie bombing mitch rapp takes first antiterrorist assignment
Hardcover Fiction,the girl who kicked the hornet’s nest,Stieg Larsson,third volume trilogy swedish hacker journalist,9780307269997,22,,the girl who kicked the hornet’s nest Stieg Larsson third volume trilogy swedish hacker journalist
Hardcover Fiction,fall of giants,Ken Follett,five interrelated families five countries caught upheavals world war russian revolution,9780525951650,4,,fall of giants Ken Follett five interrelated families five countries caught upheavals world war russian revolution
Hardcover Fiction,safe haven,Nicholas Sparks,arrival mysterious young woman small north carolina town raises questions past,9780446547598,6,,safe haven Nicholas Sparks arrival mysterious young woman small north carolina town raises questions past
Hardcover Fiction,the reversal,Michael Connelly,defense lawyer mickey haller lapd detective harry bosch join forces childkiller,9780316069489,3,,the reversal Michael Connelly defense lawyer mickey haller lapd detective harry bosch join forces childkiller
Hardcover Fiction,the twelfth imam,Joel C Rosenberg,cia operative sent tehran secretly disrupt iran’s nuclear weapons program,9781414311630,1,,the twelfth imam Joel C Rosenberg cia operative sent tehran secretly disrupt iran’s nuclear weapons program
Hardcover Fiction,squirrel seeks chipmunk,David Sedaris,humorist looks human nature stories animals characters,9780316038393,4,,squirrel seeks chipmunk David Sedaris humorist looks human nature stories animals characters
Hardcover Fiction,freedom,Jonathan Franzen,family midwestern liberals bush years,9780374158460,8,,freedom Jonathan Franzen family midwestern liberals bush years
Hardcover Fiction,don’t blink,James Patterson and Howard Roughan,reporter finds involved war italian mob russian mafia,9780316036238,4,,don’t blink James Patterson and Howard Roughan reporter finds involved war italian mob russian mafia
Hardcover Fiction,the help,Kathryn Stockett,young white woman two black maids 1960s ­mississippi,9780399155345,82,,the help Kathryn Stockett young white woman two black maids 1960s ­mississippi
Hardcover Fiction,chasing the night,Iris Johansen,forensic sculptor eve duncan helps cia agent search kidnapped son,9780312651190,1,,chasing the night Iris Johansen forensic sculptor eve duncan helps cia agent search kidnapped son
Hardcover Fiction,our kind of traitor,John le Carré,british couple caught russian intrigue,9780670022243,2,,our kind of traitor John le Carré british couple caught russian intrigue
Hardcover Fiction,against all things ending,Stephen R Donaldson,resurrection thomas covenant awakened worm world’s end,9780399156786,1,,against all things ending Stephen R Donaldson resurrection thomas covenant awakened worm world’s end
Hardcover Fiction,the templar salvation,Raymond Khoury,secret history infamous templars holds key tess chaykin’s freedom,9780525951841,1,,the templar salvation Raymond Khoury secret history infamous templars holds key tess chaykin’s freedom
Hardcover Fiction,naked heat,Richard Castle,new york’s vicious gossip columnist found dead detective nikki heat uncovers gallery highprofile suspects,9781401324025,0,,naked heat Richard Castle new york’s vicious gossip columnist found dead detective nikki heat uncovers gallery highprofile suspects
Hardcover Fiction,painted ladies,Robert B Parker,boston pi spenser job seemed simple protect art scholar ransom exchange stolen painting scholar secrets uncovering means trouble,9780399156854,0,,painted ladies Robert B Parker boston pi spenser job seemed simple protect art scholar ransom exchange stolen painting scholar secrets uncovering means trouble
Hardcover Fiction,room,Emma Donoghue,world 5yearold boy narrates novel 11by11foot room mother held basis movie,9780316098335,0,,room Emma Donoghue world 5yearold boy narrates novel 11by11foot room mother held basis movie
Hardcover Fiction,cryoburn,Lois McMaster Bujold,,9781439133941,0,,
Hardcover Fiction,caught,Harlan Coben,suburban girl goes missing,9780525951582,1,,caught Harlan Coben suburban girl goes missing
Hardcover Fiction,house rules,Jodi Picoult,teenage boy asperger’s syndrome accused murder,9780743296434,4,,house rules Jodi Picoult teenage boy asperger’s syndrome accused murder
Hardcover Fiction,the silent sea,Clive Cussler and Jack Du Brul,juan cabrillo crew oregon make discoveries lead back ancient chinese expedition,9780399156250,3,,the silent sea Clive Cussler and Jack Du Brul juan cabrillo crew oregon make discoveries lead back ancient chinese expedition
Hardcover Fiction,bite me,Christopher Moore,saving san francisco vampyre cat,9780061779725,1,,bite me Christopher Moore saving san francisco vampyre cat
